bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,44,38,2020-05-01 9:15:00
1,1002,3,3,2,3,113,110,2020-05-01 9:15:00
1,1003,2,5,5,2,115,108,2020-05-01 9:15:00
1,1004,1,1,1,1,19,19,2020-05-01 9:15:00
1,1051,1,3,1,1,54,26,2020-05-01 9:15:00
1,1053,2,1,1,2,7,17,2020-05-01 9:15:00
1,1054,1,0,0,1,7,3,2020-05-01 9:15:00
1,1055,3,0,0,3,18,34,2020-05-01 9:15:00
1,1056,2,5,4,2,10,27,2020-05-01 9:15:00
1,1057,1,1,0,1,7,5,2020-05-01 9:15:00
1,1058,1,0,0,1,4,0,2020-05-01 9:15:00
1,1059,1,0,0,1,11,12,2020-05-01 9:15:00
1,1060,3,0,0,3,59,67,2020-05-01 9:15:00
1,1061,1,0,0,1,15,25,2020-05-01 9:15:00
1,1062,3,0,0,3,24,36,2020-05-01 9:15:00
2,2000,25,80,66,22,322,562,2020-05-01 9:15:00
3,3101,5,6,4,5,69,91,2020-05-01 9:15:00
3,3102,2,0,0,2,6,21,2020-05-01 9:15:00
3,3103,1,0,0,1,26,22,2020-05-01 9:15:00
3,3151,1,0,0,1,6,8,2020-05-01 9:15:00
3,3153,3,10,7,3,33,41,2020-05-01 9:15:00
3,3154,1,4,1,1,16,18,2020-05-01 9:15:00
3,3155,2,4,2,2,9,14,2020-05-01 9:15:00
3,3157,1,1,1,1,3,19,2020-05-01 9:15:00
3,3158,1,3,3,1,6,10,2020-05-01 9:15:00
3,3159,6,14,6,6,74,123,2020-05-01 9:15:00
3,3241,16,36,24,16,166,345,2020-05-01 9:15:00
3,3251,3,1,1,3,14,4,2020-05-01 9:15:00
3,3252,4,3,2,4,19,54,2020-05-01 9:15:00
3,3254,5,5,2,4,42,68,2020-05-01 9:15:00
3,3255,1,0,0,1,8,6,2020-05-01 9:15:00
3,3256,1,0,0,1,22,12,2020-05-01 9:15:00
3,3257,1,1,0,1,8,19,2020-05-01 9:15:00
3,3351,3,2,0,1,23,24,2020-05-01 9:15:00
3,3352,2,0,0,2,9,9,2020-05-01 9:15:00
3,3353,2,4,2,2,23,14,2020-05-01 9:15:00
3,3354,1,0,0,1,20,5,2020-05-01 9:15:00
3,3355,1,0,0,1,17,19,2020-05-01 9:15:00
3,3356,2,1,1,2,7,10,2020-05-01 9:15:00
3,3357,3,2,2,2,18,24,2020-05-01 9:15:00
3,3358,3,1,1,3,18,24,2020-05-01 9:15:00
3,3359,3,0,0,2,16,25,2020-05-01 9:15:00
3,3360,2,2,1,2,22,6,2020-05-01 9:15:00
3,3361,2,0,0,2,9,8,2020-05-01 9:15:00
3,3401,1,2,2,1,12,17,2020-05-01 9:15:00
3,3402,1,1,0,1,11,10,2020-05-01 9:15:00
3,3403,4,6,5,3,117,79,2020-05-01 9:15:00
3,3404,4,8,5,4,98,59,2020-05-01 9:15:00
3,3405,1,0,0,1,3,28,2020-05-01 9:15:00
3,3451,2,4,3,2,14,14,2020-05-01 9:15:00
3,3452,2,1,1,2,18,20,2020-05-01 9:15:00
3,3453,2,0,0,2,13,29,2020-05-01 9:15:00
3,3454,5,7,5,5,40,49,2020-05-01 9:15:00
3,3455,2,0,0,2,12,6,2020-05-01 9:15:00
3,3456,1,4,4,1,15,15,2020-05-01 9:15:00
3,3457,3,0,0,2,17,26,2020-05-01 9:15:00
3,3458,1,1,1,1,6,9,2020-05-01 9:15:00
3,3459,7,0,0,6,70,64,2020-05-01 9:15:00
3,3460,3,0,0,3,53,17,2020-05-01 9:15:00
3,3461,1,0,0,1,1,16,2020-05-01 9:15:00
3,3462,1,0,0,1,8,5,2020-05-01 9:15:00
4,4011,10,10,6,9,88,113,2020-05-01 9:15:00
4,4012,2,5,3,2,12,46,2020-05-01 9:15:00
5,5111,12,21,15,11,81,234,2020-05-01 9:15:00
5,5112,12,11,8,9,79,164,2020-05-01 9:15:00
5,5113,14,31,25,13,95,241,2020-05-01 9:15:00
5,5114,5,14,10,4,31,78,2020-05-01 9:15:00
5,5116,5,8,7,4,41,78,2020-05-01 9:15:00
5,5117,2,6,5,2,21,29,2020-05-01 9:15:00
5,5119,5,2,0,4,31,35,2020-05-01 9:15:00
5,5120,1,3,2,1,25,11,2020-05-01 9:15:00
5,5122,3,7,6,3,35,58,2020-05-01 9:15:00
5,5124,5,10,8,5,109,106,2020-05-01 9:15:00
5,5154,5,7,5,5,30,46,2020-05-01 9:15:00
5,5158,6,4,4,6,61,34,2020-05-01 9:15:00
5,5162,7,10,9,6,54,69,2020-05-01 9:15:00
5,5166,4,8,6,4,22,39,2020-05-01 9:15:00
5,5170,9,8,4,8,64,101,2020-05-01 9:15:00
5,5314,15,18,13,11,66,225,2020-05-01 9:15:00
5,5315,27,42,28,18,93,342,2020-05-01 9:15:00
5,5316,4,1,1,2,42,46,2020-05-01 9:15:00
5,5334,8,30,28,7,153,166,2020-05-01 9:15:00
5,5358,6,6,3,5,21,53,2020-05-01 9:15:00
5,5362,6,5,3,6,26,44,2020-05-01 9:15:00
5,5366,3,2,2,3,11,38,2020-05-01 9:15:00
5,5370,3,9,6,3,7,28,2020-05-01 9:15:00
5,5374,6,3,1,6,40,45,2020-05-01 9:15:00
5,5378,4,3,3,4,18,38,2020-05-01 9:15:00
5,5382,6,4,2,6,23,79,2020-05-01 9:15:00
5,5512,2,2,1,2,41,26,2020-05-01 9:15:00
5,5513,6,5,2,4,80,53,2020-05-01 9:15:00
5,5515,8,13,12,7,69,192,2020-05-01 9:15:00
5,5554,5,4,3,5,32,50,2020-05-01 9:15:00
5,5558,3,1,1,3,24,19,2020-05-01 9:15:00
5,5562,14,6,1,14,118,196,2020-05-01 9:15:00
5,5566,6,15,11,5,47,59,2020-05-01 9:15:00
5,5570,5,4,2,5,27,35,2020-05-01 9:15:00
5,5711,3,5,5,3,39,91,2020-05-01 9:15:00
5,5754,3,2,1,3,22,32,2020-05-01 9:15:00
5,5758,4,3,3,3,32,38,2020-05-01 9:15:00
5,5762,5,3,2,5,23,19,2020-05-01 9:15:00
5,5766,2,7,6,2,30,52,2020-05-01 9:15:00
5,5770,6,10,3,6,50,99,2020-05-01 9:15:00
5,5774,5,3,2,4,50,80,2020-05-01 9:15:00
5,5911,7,7,4,5,85,163,2020-05-01 9:15:00
5,5913,7,10,7,7,76,204,2020-05-01 9:15:00
5,5914,5,4,2,5,48,41,2020-05-01 9:15:00
5,5915,6,3,1,5,39,53,2020-05-01 9:15:00
5,5916,4,7,5,4,23,47,2020-05-01 9:15:00
5,5954,6,4,2,6,40,60,2020-05-01 9:15:00
5,5958,8,4,3,8,56,48,2020-05-01 9:15:00
5,5962,8,17,6,8,58,83,2020-05-01 9:15:00
5,5966,3,8,6,3,25,22,2020-05-01 9:15:00
5,5970,6,2,2,6,51,89,2020-05-01 9:15:00
5,5974,8,1,1,7,49,60,2020-05-01 9:15:00
5,5978,7,4,3,7,68,60,2020-05-01 9:15:00
6,6411,6,12,5,4,22,54,2020-05-01 9:15:00
6,6412,16,48,40,12,124,248,2020-05-01 9:15:00
6,6413,2,4,4,2,46,68,2020-05-01 9:15:00
6,6414,5,7,7,4,53,86,2020-05-01 9:15:00
6,6431,5,5,2,5,23,29,2020-05-01 9:15:00
6,6432,2,12,7,2,2,25,2020-05-01 9:15:00
6,6433,2,6,4,2,15,21,2020-05-01 9:15:00
6,6434,3,1,1,3,5,25,2020-05-01 9:15:00
6,6435,4,15,9,4,41,49,2020-05-01 9:15:00
6,6436,2,7,4,2,52,21,2020-05-01 9:15:00
6,6437,2,9,7,2,25,127,2020-05-01 9:15:00
6,6438,2,7,7,2,21,36,2020-05-01 9:15:00
6,6439,2,1,1,2,13,9,2020-05-01 9:15:00
6,6440,5,5,4,5,61,81,2020-05-01 9:15:00
6,6531,4,13,12,4,44,218,2020-05-01 9:15:00
6,6532,2,2,2,2,21,40,2020-05-01 9:15:00
6,6533,3,2,2,3,31,35,2020-05-01 9:15:00
6,6534,3,7,5,2,41,128,2020-05-01 9:15:00
6,6535,4,2,1,4,24,16,2020-05-01 9:15:00
6,6611,6,9,6,6,54,124,2020-05-01 9:15:00
6,6631,3,8,7,3,17,63,2020-05-01 9:15:00
6,6632,3,2,1,3,35,38,2020-05-01 9:15:00
6,6633,3,0,0,3,15,14,2020-05-01 9:15:00
6,6634,3,2,0,3,26,28,2020-05-01 9:15:00
6,6635,5,0,0,5,49,47,2020-05-01 9:15:00
6,6636,2,2,2,2,15,24,2020-05-01 9:15:00
7,7111,5,7,6,4,41,72,2020-05-01 9:15:00
7,7131,2,1,0,2,15,13,2020-05-01 9:15:00
7,7132,2,3,0,2,15,7,2020-05-01 9:15:00
7,7133,4,0,0,4,21,23,2020-05-01 9:15:00
7,7134,2,0,0,2,10,13,2020-05-01 9:15:00
7,7135,2,0,0,2,9,7,2020-05-01 9:15:00
7,7137,3,1,0,3,19,6,2020-05-01 9:15:00
7,7138,4,1,1,4,31,23,2020-05-01 9:15:00
7,7140,2,0,0,2,10,4,2020-05-01 9:15:00
7,7141,5,1,1,5,13,24,2020-05-01 9:15:00
7,7143,4,2,0,4,17,21,2020-05-01 9:15:00
7,7211,4,1,1,3,48,79,2020-05-01 9:15:00
7,7231,2,2,2,2,17,15,2020-05-01 9:15:00
7,7232,2,0,0,2,10,13,2020-05-01 9:15:00
7,7233,1,1,1,1,3,1,2020-05-01 9:15:00
7,7235,2,0,0,2,13,6,2020-05-01 9:15:00
7,7311,1,1,1,1,10,12,2020-05-01 9:15:00
7,7312,1,6,4,1,63,97,2020-05-01 9:15:00
7,7313,2,5,1,2,12,10,2020-05-01 9:15:00
7,7314,4,5,4,4,51,71,2020-05-01 9:15:00
7,7315,2,9,4,2,39,106,2020-05-01 9:15:00
7,7316,1,0,0,1,6,15,2020-05-01 9:15:00
7,7317,1,0,0,1,6,11,2020-05-01 9:15:00
7,7318,3,5,4,2,7,25,2020-05-01 9:15:00
7,7319,1,2,0,1,4,26,2020-05-01 9:15:00
7,7320,1,1,1,1,8,7,2020-05-01 9:15:00
7,7331,1,0,0,1,4,4,2020-05-01 9:15:00
7,7332,2,4,3,2,9,8,2020-05-01 9:15:00
7,7333,2,0,0,2,6,6,2020-05-01 9:15:00
7,7334,2,1,1,2,16,13,2020-05-01 9:15:00
7,7335,1,0,0,1,8,7,2020-05-01 9:15:00
7,7336,1,0,0,1,2,14,2020-05-01 9:15:00
7,7339,2,10,8,2,12,13,2020-05-01 9:15:00
